абаговомаб;abagovomab;abagovomabum
идарубицин;idarubicin;idarubicinum
идаруцизумаб;idarucizumab;idarucizumabum
идасанутлин;idasanutlin;idasanutlinum
идебенон;idebenone;idebenonum
иделалисиб;idelalisib;idelalisibum
иденаст;idenast;idenastum
идоксифен;idoxifene;idoxifenum
идоксуридин;idoxuridine;idoxuridinum
идрабиотапаринукс натрия;idrabiotaparinux sodium;idrabiotaparinuxum natricum
идралфидин;idralfidine;idralfidinum
идрамантон;idramantone;idramantonum
идрапаринукс натрия;idraparinux sodium;idraparinuxum natricum
идраприл;idrapril;idraprilum
идремцинал;idremcinal;idremcinalum
идроноксил;idronoxil;idronoxilum
идропранолол;idropranolol;idropranololum
идроциламид;idrocilamide;idrocilamidum
идурсульфаза;idursulfase;idursulfasum
идурсульфаза бета;idursulfase beta;idursulfasum beta
изавуконазол;isavuconazole;isavuconazolum
изавуконазония хлорид;isavuconazonium chloride;isavuconazonii chloridum
изаглидол;isaglidole;isaglidolum
изаксонин;isaxonine;isaxoninum
изалстеин;isalsteine;isalsteinum
изамоксол;isamoxole;isamoxolum
изамфазон;isamfazone;isamfazonum
изаторибин;isatoribine;isatoribinum
избогрел;isbogrel;isbogrelum
избуфиллин;isbufylline;isbufyllinum
изеганан;iseganan;isegananum
изепамицин;isepamicin;isepamicinum
изетионат;isetionate;isetionas (R)
изоаминил;isoaminile;isoaminilum
изоброминдион;isobromindione;isobromindionum
изобутамбен;isobutamben;isobutambenum
изокарбоксазид;isocarboxazid;isocarboxazidum
изоконазол;isoconazole;isoconazolum
изокромил;isocromil;isocromilum
изоксапролол;isoxaprolol;isoxaprololum
изоксепак;isoxepac;isoxepacum
изоксикам;isoxicam;isoxicamum
изоксуприн;isoxsuprine;isoxsuprinum
изолейцин;isoleucine;isoleucinum
изомазол;isomazole;isomazolum
изометадон;isomethadone;isomethadonum
изометамидия хлорид;isometamidium chloride;isometamidii chloridum
изометептен;isometheptene;isometheptenum
изомолпан;isomolpan;isomolpanum
изониазид;isoniazid;isoniazidum
изониксин;isonixin;isonixinum
изонстерид;izonsteride;izonsteridum
изопразон;isoprazone;isoprazonum
изопредниден;isoprednidene;isoprednidenum
изопреналин;isoprenaline;isoprenalinum
изопропамида йодид;isopropamide iodide;isopropamidi iodidum
изопропициллин;isopropicillin;isopropicillinum
изопрофен;isoprofen;isoprofenum
изосорбид;isosorbide;isosorbidum
изосорбида динитрат;isosorbide dinitrate;isosorbidi dinitras
изосорбида мононитрат;isosorbide mononitrate;isosorbidi mononitras
изоспаглумовая кислота;isospaglumic acid;acidum isospaglumicum
изосульприд;isosulpride;isosulpridum
изотипендил;isothipendyl;isothipendylum
изотихимид;isotiquimide;isotiquimidum
изотретиноин;isotretinoin;isotretinoinum
изофезолак;isofezolac;isofezolacum
изофлупредон;isoflupredone;isoflupredonum
изофлуран;isoflurane;isofluranum
изоэтарин;isoetarine;isoetarinum
икаридин;icaridin;icaridinum
икатибант;icatibant;icatibantum
иклазепам;iclazepam;iclazepamum
иклаприм;iclaprim;iclaprimum
икодекстрин;icodextrin;icodextrinum
икодулин;icoduline;icodulinum
икозапент;icosapent;icosapentum
икометазона энбутат;icometasone enbutate;icometasonii enbutas
икомукрет;icomucret;icomucretum
икопезил;icopezil;icopezilum
икосабутат;icosabutate;icosabutas
икоспирамид;icospiramide;icospiramidum
икофунгипен;icofungipen;icofungipenum
икрокаптид;icrocaptide;icrocaptidum
икрукумаб;icrucumab;icrucumabum
иксабепилон;ixabepilone;ixabepilonum
иксазомиб;ixazomib;ixazomibum
иксекизумаб;ixekizumab;ixekizumabum
илапразол;ilaprazole;ilaprazolum
илатреотид;ilatreotide;ilatreotidum
илепатрил;ilepatril;ilepatrilum
илепцимид;ilepcimide;ilepcimidum
илипарцил;iliparcil;iliparcilum
илметропия йодид;ilmetropium iodide;ilmetropii iodidum
илмофозин;ilmofosine;ilmofosinum
илодекакин;ilodecakin;ilodecakinum
иломастат;ilomastat;ilomastatum
илонидап;ilonidap;ilonidapum
илоперидон;iloperidone;iloperidonum
илопрост;iloprost;iloprostum
илорасертиб;ilorasertib;ilorasertibum
имагабалин;imagabalin;imagabalinum
имазодан;imazodan;imazodanum
ималумаб;imalumab;imalumabum
иманиксил;imanixil;imanixilum
иматиниб;imatinib;imatinibum
имафен;imafen;imafenum
имгатузумаб;imgatuzumab;imgatuzumabum
имеглимин;imeglimin;imegliminum
имексон;imexon;imexonum
имепитоин;imepitoin;imepitoinum
иметелстат;imetelstat;imetelstatum
имиглитазар;imiglitazar;imiglitazarum
имиглюцераза;imiglucerase;imiglucerasum
имидазола салицилат;imidazole salicylate;imidazoli salicylas
имидаприл;imidapril;imidaprilum
имидаприлат;imidaprilat;imidaprilatum
имидафенацин;imidafenacin;imidafenacinum
имидокарб;imidocarb;imidocarbum
имидолин;imidoline;imidolinum
имизопазем марганца;imisopasem manganese;imisopasemum manganum
имиклопазин;imiclopazine;imiclopazinum
имилоксан;imiloxan;imiloxanum
иминофенимид;iminophenimide;iminophenimidum
имипенем;imipenem;imipenemum
имипрамин;imipramine;imipraminum
имипраминоксид;imipraminoxide;imipraminoxidum
имирестат;imirestat;imirestatum
имитродаст;imitrodast;imitrodastum
имихимод;imiquimod;imiquimodum
имкарбофос;imcarbofos;imcarbofosum
имлатоклакс;imlatoclax;imlatoclaxum
имокситерол;imoxiterol;imoxiterolum
имоламин;imolamine;imolaminum
импакарзин;impacarzine;impacarzinum
имплитапид;implitapide;implitapidum
импромидин;impromidine;impromidinum
импросульфан;improsulfan;improsulfanum
имурацетам;imuracetam;imuracetamum
имциромаб;imciromab;imciromabum
инакалант;inakalant;inakalantum
инаперизон;inaperisone;inaperisonum
Ингенол дизоксат;ingenol disoxate;ingenoli disoxas
ингенол мебутат;ingenol mebutate;ingenoli mebutas
инглифориб;ingliforib;ingliforibum
индакатерол;indacaterol;indacaterolum
индакринон;indacrinone;indacrinonum
индалпин;indalpine;indalpinum
инданазолин;indanazoline;indanazolinum
инданидин;indanidine;indanidinum
инданорекс;indanorex;indanorexum
индантадол;indantadol;indantadolum
индапамид;indapamide;indapamidum
индатралин;indatraline;indatralinum
индатуксимаб равтансин;indatuximab ravtansine;indatuximabum ravtansinum
индеглитазар;indeglitazar;indeglitazarum
индекаинид;indecainide;indecainidum
инделоксазин;indeloxazine;indeloxazinum
инденолол;indenolol;indenololum
индибулин;indibulin;indibulinum
индимиласт;indimilast;indimilastum
индинавир;indinavir;indinavirum
индиплон;indiplon;indiplonum
индисетрон;indisetron;indisetronum
индисулам;indisulam;indisulamum
индобуфен;indobufen;indobufenum
индокат;indocate;indocatum
индоксимод;indoximod;indoximodum
индоксол;indoxole;indoxolum
индолаприл;indolapril;indolaprilum
индолидан;indolidan;indolidanum
индометацин;indometacin;indometacinum
индопанолол;indopanolol;indopanololum
индопин;indopine;indopinum
индопрофен;indoprofen;indoprofenum
индорамин;indoramin;indoraminum
индоренат;indorenate;indorenatum
индрилин;indriline;indrilinum
индусатумаб;indusatumab;indusatumabum
индусатумаб ведотин;indusatumab vedotin;indusatumabum vedotinum
Инебилизумаб;inebilizumab;inebilizumabum
инекальцитол;inecalcitol;inecalcitolum
иникарон;inicarone;inicaronum
инипариб;iniparib;iniparibum
инкадроновая кислота;incadronic acid;acidum incadronicum
инклакумаб;inclacumab;inclacumabum
инклисиран;inclisiran;inclisiranum
иногатран;inogatran;inogatranum
инозин;inosine;inosinum
инозитола никотинат;inositol nicotinate;inositoli nicotinas
инокотерон;inocoterone;inocoteronum
инолимомаб;inolimomab;inolimomabum
инотерсен;inotersen;inotersenum
инотузумаб озогамицин;inotuzumab ozogamicin;inotuzumabum ozogamicinum
инпрохон;inproquone;inproquonum
инсулин аргин;insulin argine;insulinum arginum
инсулин аспарт;insulin aspart;insulinum aspartum
инсулин гларгин;insulin glargine;insulinum glarginum
инсулин глулизин;insulin glulisine;insulinum glulisinum
инсулин двухфазный для инъекций;biphasic insulin injection;insulini injectio biphasica
инсулин деаланированный;dalanated insulin;insulinum dalanatum
инсулин деглудек;insulin degludec;insulinum degludecum
инсулин детемир;insulin detemir;insulinum detemirum
инсулин дефалан;insulin defalan;insulinum defalanum
инсулин лизпро;insulin lispro;insulinum lisprum
инсулин нейтральный для инъекций;neutral insulin injection;insulini injectio neutralis
инсулин пэглизпро;insulin peglispro;insulinum peglisprum
инсулин трегопил;insulin tregopil;insulinum tregopilum
инсулин цинк глобин для инъекций;globin zinc insulin injection;insulini zinci globinati injectio
инсулин человеческий;insulin human;insulinum humanum
инсулин-изофан;isophane insulin;isophanum insulinum
инсулин-цинка комбинированного суспензия;compound insulin zinc suspension;insulini cum zinco suspensio composita
инсулин-цинка суспензия (аморфная);insulin zinc suspension (amorphous);insulini cum zinco (amorphi) suspensio
инсулин-цинка суспензия (кристаллическая);insulin zinc suspension (crystalline);insulini cum zinco (crystallisati) suspensio
интепирдин;intepirdine;intepirdinum
интермедин;intermedine;intermedinum
интерферон альфа;interferon alfa;interferonum alfa
интерферон альфакон-1;interferon alfacon-1;interferonum alfacon-1
интерферон бета;interferon beta;interferonum beta
интерферон гамма;interferon gamma;interferonum gamma
интетумумаб;intetumumab;intetumumabum
интихинатин;intiquinatine;intiquinatinum
интоплицин;intoplicine;intoplicinum
интразол;intrazole;intrazolum
интриптилин;intriptyline;intriptylinum
инфигратиниб;infigratinib;infigratinibum
инфликсимаб;infliximab;infliximabum
инциклинид;incyclinide;incyclinidum
йобенгуан (131I);iobenguane (131I);iobenguanum (131I)
йобензамовая кислота;iobenzamic acid;acidum iobenzamicum
йобитридол;iobitridol;iobitridolum
йобутоевая кислота;iobutoic acid;acidum iobutoicum
йоверсол;ioversol;ioversolum
йогексол;iohexol;iohexolum
йогликамовая кислота;ioglycamic acid;acidum ioglycamicum
йоглициевая кислота;ioglicic acid;acidum ioglicicum
йоглюкол;ioglucol;ioglucolum
йоглюкомид;ioglucomide;ioglucomidum
йоглюнид;ioglunide;ioglunidum
йод (124I) гирентуксимаб;iodine (124I) girentuximab;iodum (124I) girentuximabum
Йод (131I) дерлотуксимаб биотин;iodine (131I) derlotuximab biotin;iodinum (131I) derlotuximabum biotinum
йодамид;iodamide;iodamidum
йодетрил;iodetryl;iodetrylum
йодецимол;iodecimol;iodecimol
йодиксанол;iodixanol;iodixanolum
йодоксамовая кислота;iodoxamic acid;acidum iodoxamicum
йодотиоурацил;iodothiouracil;iodothiouracilum
йодофилтовая кислота (123I);iodofiltic acid (123I);acidum iodofilticum (123I)
йодофталеин натрия;iodophthalein sodium;iodophthaleinum natricum
йодохолестерол (131I);iodocholesterol (131I);iodocholesterolum (131I)
йодоцетиловая кислота (123I);iodocetylic acid (123I);acidum iodocetylicum (123I)
йозаркол;iosarcol;iosarcolum
йозефамовая кислота;iosefamic acid;acidum iosefamicum
йозимид;iosimide;iosimidum
йозомовая кислота;iozomic acid;acidum iozomicum
йоканлидовая кислота (123I);iocanlidic acid (123I);acidum iocanlidicum (123I)
йокармовая кислота;iocarmic acid;acidum iocarmicum
йоксаброловая кислота;ioxabrolic acid;acidum ioxabrolicum
йоксагловая кислота;ioxaglic acid;acidum ioxaglicum
йоксилан;ioxilan;ioxilanum
йокситаламовая кислота;ioxitalamic acid;acidum ioxitalamicum
йоксотризоевая кислота;ioxotrizoic acid;acidum ioxotrizoicum
йолидоновая кислота;iolidonic acid;acidum iolidonicum
йоликсановая кислота;iolixanic acid;acidum iolixanicum
йолоприд (123I);iolopride (123I);iolopridum (123I)
йомазенил (123I);iomazenil (123I);iomazenilum (123I)
йомегламовая кислота;iomeglamic acid;acidum iomeglamicum
йомепрол;iomeprol;iomeprolum
йометин (125I);iometin (125I);iometinum (125I)
йометин (131I);iometin (131I);iometinum (131I)
йометопан (123I);iometopane (123I);iometopanum (123I)
йомориновая кислота;iomorinic acid;acidum iomorinicum
йопамидол;iopamidol;iopamidolum
йопаноевая кислота;iopanoic acid;acidum iopanoicum
йопентол;iopentol;iopentolum
йопидол;iopydol;iopydolum
йопидон;iopydone;iopydonum
йопромид;iopromide;iopromidum
йопроновая кислота;iopronic acid;acidum iopronicum
йопроцемовая кислота;ioprocemic acid;acidum ioprocemicum
йосеровая кислота;ioseric acid;acidum iosericum
йосименол;iosimenol;iosimenolum
йосуламид;iosulamide;iosulamidum
йосуметовая кислота;iosumetic acid;acidum iosumeticum
йоталамовая кислота;iotalamic acid;acidum iotalamicum
йотасул;iotasul;iotasulum
йотетровая кислота;iotetric acid;acidum iotetricum
йотрановая кислота;iotranic acid;acidum iotranicum
йотризид;iotriside;iotrisidum
йотризоевая кислота;iotrizoic acid;acidum iotrizoicum
йотроксовая кислота;iotroxic acid;acidum iotroxicum
йотролан;iotrolan;iotrolanum
йофендилат;iofendylate;iofendylatum
йофеноевая кислота;iophenoic acid;acidum iophenoicum
йофетамин (123I);iofetamine (123I);iofetaminum (123I)
йофлубензамид (131I);ioflubenzamide (131I);ioflubenzamidum (131I)
йофлупан (123I);ioflupane (123I);ioflupanum (123I)
йофоластат (123I);iofolastat (123I);iofolastatum (123I)
йоформинол;ioforminol;ioforminolum
йофратол;iofratol;iofratolum
йохимбиновая кислота;yohimbic acid;acidum yohimbicum
йоцетамовая кислота;iocetamic acid;acidum iocetamicum
ипазилид;ipazilide;ipazilidum
ипаморелин;ipamorelin;ipamorelinum
ипатасертиб;ipatasertib;ipatasertibum
ипафрицепт;ipafricept;ipafriceptum
ипексидин;ipexidine;ipexidinum
ипеноксазон;ipenoxazone;ipenoxazonum
ипидакрин;ipidacrine;ipidacrinum
ипилимумаб;ipilimumab;ipilimumabum
иправакаин;ipravacaine;ipravacainum
ипраглифлозин;ipragliflozin;ipragliflozinum
ипрагратин;ipragratine;ipragratinum
ипразохром;iprazochrome;iprazochromum
ипрамидил;ipramidil;ipramidilum
ипратропия бромид;ipratropium bromide;ipratropii bromidum
иприндол;iprindole;iprindolum
иприфлавон;ipriflavone;ipriflavonum
ипрогептин;iproheptine;iproheptinum
ипрозиламин;iprozilamine;iprozilaminum
ипроклозид;iproclozide;iproclozidum
ипрокролол;iprocrolol;iprocrololum
ипроксамин;iproxamine;iproxaminum
ипрониазид;iproniazid;iproniazidum
ипронидазол;ipronidazole;ipronidazolum
ипроплатин;iproplatin;iproplatinum
ипротиазем;iprotiazem;iprotiazemum
ипсалазид;ipsalazide;ipsalazidum
ипсапирон;ipsapirone;ipsapironum
иралукаст;iralukast;iralukastum
ирампанел;irampanel;irampanelum
иратумумаб;iratumumab;iratumumabum
ирбесартан;irbesartan;irbesartanum
ирдабисант;irdabisant;irdabisantum
ириндалон;irindalone;irindalonum
иринотекан;irinotecan;irinotecanum
ирлоксацин;irloxacin;irloxacinum
ироксанадин;iroxanadine;iroxanadinum
иролаприд;irolapride;irolapridum
ироплакт;iroplact;iroplactum
иросустат;irosustat;irosustatum
ирофулвен;irofulven;irofulvenum
ирсогладин;irsogladine;irsogladinum
иртемазол;irtemazole;irtemazolum
исалмадол;isalmadol;isalmadolum
исамолтан;isamoltan;isamoltanum
исатуксимаб;isatuximab;isatuximabum
исмомултин альфа;ismomultin alfa;ismomultinum alfa
испинесиб;ispinesib;ispinesibum
испрониклин;ispronicline;isproniclinum
исрадипин;isradipine;isradipinum
исрапафант;israpafant;israpafantum
истароксим;istaroxime;istaroximum
истрадефиллин;istradefylline;istradefyllinum
Исунакинра;isunakinra;isunakinrum
итазигрел;itazigrel;itazigrelum
итамелин;itameline;itamelinum
итаноксон;itanoxone;itanoxonum
итарнафлоксин;itarnafloxin;itarnafloxinum
итасетрон;itasetron;itasetronum
итацитиниб;itacitinib;itacitinibum
итолизумаб;itolizumab;itolizumabum
итоприд;itopride;itopridum
итраконазол;itraconazole;itraconazolum
итрамина тозилат;itramin tosilate;itramini tosilas
итриглумид;itriglumide;itriglumidum
итрокаинид;itrocainide;itrocainidum
итроцинонид;itrocinonide;itrocinonidum
иттрия (90Y) кливатузумаб тетраксетан;yttrium (90Y) clivatuzumab tetraxetan;yttrium (90Y) clivatuzumabum tetraxetanum
иттрия (90Y) такатузумаб тетраксетан;yttrium (90Y) tacatuzumab tetraxetan;yttrium (90Y) tacatuzumabum tetraxetanum
итуреликс;iturelix;iturelixum
ифаботузумаб;ifabotuzumab;ifabotuzumabum
ифенпродил;ifenprodil;ifenprodilum
иферансерин;iferanserin;iferanserinum
ифетробан;ifetroban;ifetrobanum
ифоксетин;ifoxetine;ifoxetinum
ифосфамид;ifosfamide;ifosfamidum
ихиндамин;iquindamine;iquindaminum
кабазитаксел;cabazitaxel;cabazitaxelum
кабастин;cabastine;cabastinum
каберголин;cabergoline;cabergolinum
кабиотраксетан;cabiotraxetan;cabiotraxetanum
кабирализумаб;cabiralizumab;cabiralizumabum
кабозантиниб;cabozantinib;cabozantinibum
каботегравир;cabotegravir;cabotegravirum
кадазолид;cadazolid;cadazolidum
кадексомер;cadexomer;cadexomerum
кадралазин;cadralazine;cadralazinum
кадрофлоксацин;cadrofloxacin;cadrofloxacinum
казокефамид;casokefamide;casokefamidum
каиновая кислота;kainic acid;acidum kainicum
кактиномицин;cactinomycin;cactinomycinum
каласпаргаза пэгол;calaspargase pegol;calaspargasum pegolum
калафунгин;kalafungin;kalafunginum
калдарет;caldaret;caldaretum
калия глюкалдрат;potassium glucaldrate;kalii glucaldras
калия канреноат;potassium canrenoate;kalii canrenoas
калия нитразепат;potassium nitrazepate;kalii nitrazepas
калия окспреноат;oxprenoate potassium;oxprenoas kalii
каллидиногеназа;kallidinogenase;kallidinogenasum
калоксетовая кислота;caloxetic acid;acidum caloxeticum
калустерон;calusterone;calusteronum
кальдиамид;caldiamide;caldiamidum
калькобутрол;calcobutrol;calcobutrolum
кальтеридол;calteridol;calteridolum
кальципотриол;calcipotriol;calcipotriolum
кальцитонин;calcitonin;calcitoninum
кальцитриол;calcitriol;calcitriolum
кальцифедиол;calcifediol;calcifediolum
кальция бензамидосалицилат;calcium benzamidosalicylate;calcii benzamidosalicylas
кальция глубионат;calcium glubionate;calcii glubionas
кальция глюкогептонат;calcium glucoheptonate;calcii glucoheptonas
кальция добезилат;calcium dobesilate;calcii dobesilas
кальция карбимид;calcium carbimide;calcii carbimidum
кальция клофибрат;calcium clofibrate;calcii clofibras
кальция левофолинат;calcium levofolinate;calcii levofolinas
кальция натрия ферриклат;calcium sodium ferriclate;calcii natrii ferriclas
кальция пантотенат;calcium pantothenate;calcii pantothenas
кальция сахарат;calcium saccharate;calcii saccharas
кальция тринатрия пентетат;calcium trisodium pentetate;calcii trinatrii pentetas
кальция фолинат;calcium folinate;calcii folinas
камазепам;camazepam;camazepamum
камбендазол;cambendazole;cambendazolum
камиверин;camiverine;camiverinum
камиглибоза;camiglibose;camiglibosum
камилофин;camylofin;camylofinum
камицинал;camicinal;camicinalum
камобукол;camobucol;camobucolum
камонагрел;camonagrel;camonagrelum
камостат;camostat;camostatum
камрелизумаб;camrelizumab;camrelizumabum
камсилат;camsilate;camsilas (R)
камфотамид;camphotamide;camphotamidum
канаглифлозин;canagliflozin;canagliflozinum
канакинумаб;canakinumab;canakinumabum
канамицин;kanamycin;kanamycinum
канбизол;canbisol;canbisolum
кангрелор;cangrelor;cangrelorum
кандесартан;candesartan;candesartanum
кандицидин;candicidin;candicidinum
кандоксатрил;candoxatril;candoxatrilum
кандоксатрилат;candoxatrilat;candoxatrilatum
кандокурония йодид;candocuronium iodide;candocuronii iodidum
канертиниб;canertinib;canertinibum
каннабидиол;cannabidiol;cannabidiolum
каннабинол;cannabinol;cannabinolum
каноктакин;canoctakin;canoctakinum
каносимиб;canosimibe;canosimibum
канреноевая кислота;canrenoic acid;acidum canrenoicum
канренон;canrenone;canrenonum
кантузумаб мертансин;cantuzumab mertansine;cantuzumabum mertansinum
кантузумаб равтансин;cantuzumab ravtansine;cantuzumabum ravtansinum
канфосфамид;canfosfamide;canfosfamidum
кападенозон;capadenoson;capadenosonum
капесерод;capeserod;capeserodum
капецитабин;capecitabine;capecitabinum
каплацизумаб;caplacizumab;caplacizumabum
капматиниб;capmatinib;capmatinibum
капобеновая кислота;capobenic acid;acidum capobenicum
каправирин;capravirine;capravirinum
капреомицин;capreomycin;capreomycinum
капроксамин;caproxamine;caproxaminum
капромаб;capromab;capromabum
капроморелин;capromorelin;capromorelinum
Капсаицин;capsaicin;capsaicinum
каптамин;captamine;captaminum
каптодиам;captodiame;captodiamum
каптоприл;captopril;captoprilum
капурид;capuride;capuridum
караберсат;carabersat;carabersatum
каразолол;carazolol;carazololum
карамифен;caramiphen;caramiphenum
карафибан;carafiban;carafibanum
карацемид;caracemide;caracemidum
карбадокс;carbadox;carbadoxum
карбазеран;carbazeran;carbazeranum
карбазохром;carbazochrome;carbazochromum
карбазохрома салицилат;carbazochrome salicylate;carbazochromi salicylas
карбазоцин;carbazocine;carbazocinum
карбалдрат;carbaldrate;carbaldratum
карбамазепин;carbamazepine;carbamazepinum
карбантел;carbantel;carbantelum
карбарил;carbaril;carbarilum
карбарсон;carbarsone;carbarsonum
карбасалат кальция;carbasalate calcium;carbasalatum calcicum
карбахол;carbachol;carbacholum
карбезилат;carbesilate;carbesilas (R)
карбензид;carbenzide;carbenzidum
карбенициллин;carbenicillin;carbenicillinum
карбеноксолон;carbenoxolone;carbenoxolonum
карбетимер;carbetimer;carbetimerum
карбетоцин;carbetocin;carbetocinum
карбидопа;carbidopa;carbidopum
карбимазол;carbimazole;carbimazolum
карбиноксамин;carbinoxamine;carbinoxaminum
карбифен;carbifene;carbifenum
карбоклорал;carbocloral;carbocloralum
карбокромен;carbocromen;carbocromenum
карбомер;carbomer;carbomerum
карбомицин;carbomycin;carbomycinum
карбоплатин;carboplatin;carboplatinum
карбопрост;carboprost;carboprostum
карбофенотион;carbofenotion;carbofenotionum
карбохон;carboquone;carboquonum
карбоцистеин;carbocisteine;carbocisteinum
карбромал;carbromal;carbromalum
карбубарб;carbubarb;carbubarbum
карбуразепам;carburazepam;carburazepamum
карбутамид;carbutamide;carbutamidum
карбутерол;carbuterol;carbuterolum
карведилол;carvedilol;carvedilolum
карвотролин;carvotroline;carvotrolinum
карглумовая кислота;carglumic acid;acidum carglumicum
каргутоцин;cargutocin;cargutocinum
каребастин;carebastine;carebastinum
карзелезин;carzelesin;carzelesinum
карзенид;carzenide;carzenidum
каризопродол;carisoprodol;carisoprodolum
карикотамид;caricotamide;caricotamidum
кариндациллин;carindacillin;carindacillinum
карипорид;cariporide;cariporidum
карипразин;cariprazine;cariprazinum
карисбамат;carisbamate;carisbamatum
каркаиния хлорид;carcainium chloride;carcainii chloridum
карлумаб;carlumab;carlumabum
кармантадин;carmantadine;carmantadinum
кармеглиптин;carmegliptin;carmegliptinum
кармеллоза;carmellose;carmellosum
карметизид;carmetizide;carmetizidum
кармоксирол;carmoxirole;carmoxirolum
кармотерол;carmoterol;carmoterolum
кармофур;carmofur;carmofurum
кармустин;carmustine;carmustinum
карнидазол;carnidazole;carnidazolum
карнитин;carnitine;carnitinum
кароверин;caroverine;caroverinum
карокаинид;carocainide;carocainidum
кароксазон;caroxazone;caroxazonum
каротеграст;carotegrast;carotegrastum
каротуксимаб;carotuximab;carotuximabum
карперидин;carperidine;carperidinum
карперитид;carperitide;carperitidum
карперон;carperone;carperonum
карпиндолол;carpindolol;carpindololum
карпипрамин;carpipramine;carpipraminum
карпразидил;carprazidil;carprazidilum
карпрония хлорид;carpronium chloride;carpronii chloridum
карпрофен;carprofen;carprofenum
карсалам;carsalam;carsalamum
карсатрин;carsatrin;carsatrinum
картазолат;cartazolate;cartazolatum
картастеин;cartasteine;cartasteinum
картеолол;carteolol;carteololum
карубицин;carubicin;carubicinum
карумонам;carumonam;carumonamum
карфеназин;carfenazine;carfenazinum
карфентанил;carfentanil;carfentanilum
карфециллин;carfecillin;carfecillinum
карфилзомиб;carfilzomib;carfilzomibum
карфимат;carfimate;carfimatum
касимерсен;casimersen;casimersenum
касопитант;casopitant;casopitantum
каспофунгин;caspofungin;caspofunginum
катин;cathine;cathinum
катинон;cathinone;cathinonum
катрамиласт;catramilast;catramilastum
катридекаког;catridecacog;catridecacogum
катумаксомаб;catumaxomab;catumaxomabum
кафаминол;cafaminol;cafaminolum
кафедрин;cafedrine;cafedrinum
квадазоцин;quadazocine;quadazocinum
квадросилан;quadrosilan;quadrosilanum
квазепам;quazepam;quazepamum
квазинон;quazinone;quazinonum
квазодин;quazodine;quazodinum
квазоласт;quazolast;quazolastum
кватакаин;quatacaine;quatacainum
кветиапин;quetiapine;quetiapinum
квилизумаб;quilizumab;quilizumabum
кебузон;kebuzone;kebuzonum
келиксимаб;keliximab;keliximabum
келлин;khellin;khellinum
келлозид;khelloside;khellosidum
керацианин;keracyanin;keracyaninum
кетазолам;ketazolam;ketazolamum
кетазоцин;ketazocine;ketazocinum
кетамин;ketamine;ketaminum
кетансерин;ketanserin;ketanserinum
кетимипрамин;ketimipramine;ketimipraminum
кетобемидон;ketobemidone;cetobemidonum
кетокаин;ketocaine;ketocainum
кетокаинол;ketocainol;ketocainolum
кетоконазол;ketoconazole;ketoconazolum
кетоксал;ketoxal;ketoxalum
кетопрофен;ketoprofen;ketoprofenum
кеторолак;ketorolac;ketorolacum
кеторфанол;ketorfanol;ketorfanolum
кетотифен;ketotifen;ketotifenum
кетотрексат;ketotrexate;ketotrexatum
китазамицин;kitasamycin;kitasamycinum
клавулановая кислота;clavulanic acid;acidum clavulanicum
кладрибин;cladribine;cladribinum
клазакизумаб;clazakizumab;clazakizumabum
клазозентан;clazosentan;clazosentanum
клазолам;clazolam;clazolamum
клазолимин;clazolimine;clazoliminum
клазурил;clazuril;clazurilum
кламидоксовая кислота;clamidoxic acid;acidum clamidoxicum
кламикалант;clamikalant;clamikalantum
кламоксихин;clamoxyquine;clamoxyquinum
кланобутин;clanobutin;clanobutinum
клантифен;clantifen;clantifenum
кланфенур;clanfenur;clanfenurum
кларитромицин;clarithromycin;clarithromycinum
клебоприд;clebopride;clebopridum
клевидипин;clevidipine;clevidipinum
клевудин;clevudine;clevudinum
клемастин;clemastine;clemastinum
клемепрол;clemeprol;clemeprolum
клемизол;clemizole;clemizolum
клемизол пенициллин;clemizole penicillin;clemizolum penicillinum
кленбутерол;clenbuterol;clenbuterolum
кленоликсимаб;clenoliximab;clenoliximabum
кленпирин;clenpirin;clenpirinum
клентиазем;clentiazem;clentiazemum
клетохин;cletoquine;cletoquinum
клефамид;clefamide;clefamidum
клибукаин;clibucaine;clibucainum
Кливатузумаб тетраксетан;clivatuzumab tetraxetan;clivatuzumabum tetraxetanum
клиданак;clidanac;clidanacum
клидафидин;clidafidine;clidafidinum
клидиния бромид;clidinium bromide;clidinii bromidum
климазолам;climazolam;climazolamum
климбазол;climbazole;climbazolum
климиквалин;climiqualine;climiqualinum
клинафлоксацин;clinafloxacin;clinafloxacinum
клиндамицин;clindamycin;clindamycinum
клиноламид;clinolamide;clinolamidum
клинофибрат;clinofibrate;clinofibratum
клинпрост;clinprost;clinprostum
клиоксанид;clioxanide;clioxanidum
клиохинол;clioquinol;clioquinolum
клипрофен;cliprofen;cliprofenum
клиропамин;cliropamine;cliropaminum
клобазам;clobazam;clobazamum
клобензепам;clobenzepam;clobenzepamum
клобензорекс;clobenzorex;clobenzorexum
клобензтропин;clobenztropine;clobenztropinum
клобенозид;clobenoside;clobenosidum
клобетазол;clobetasol;clobetasolum
клобетазон;clobetasone;clobetasonum
клобузарит;clobuzarit;clobuzaritum
клобутинол;clobutinol;clobutinolum
кловоксамин;clovoxamine;clovoxaminum
клогестон;clogestone;clogestonum
клогуанамил;cloguanamil;cloguanamilum
клодазон;clodazon;clodazonum
клодакаин;clodacaine;clodacainum
клоданолен;clodanolene;clodanolenum
клодантоин;clodantoin;clodantoinum
клодоксопон;clodoxopone;clodoxoponum
